Time	Cap_LAD_D1	Cap_LAD_D4	Cap_LAD_LAD3	Cap_LAD_RI	Cap_LCX_LCX1	Cap_RCA_AM	Cap_RCA_RPDA1	Cap_RCA_RPLB2	Cap_Aorta_Inlet	Cap_Aorta_Outlet	
38	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77006e-05	
39	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
40	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
41	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
42	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
43	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
44	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.7701e-05	
45	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77007e-05	
46	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77007e-05	
47	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
48	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77008e-05	
49	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77009e-05	
50	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77009e-05	
51	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77009e-05	
52	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77009e-05	
53	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77009e-05	
54	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77009e-05	
